周次,起始日期,结束日期,关键里程碑,任务名称,主责人,协同人,交付物,验收标准,预算占用(万元),风险预案,状态,完成率
T0,2026-03-30,2026-04-05,项目启动与范围冻结,召开启动会并锁定单城范围,PM负责人,技术负责人/运营负责人/财务BP,项目章程与范围清单,范围仅杭州且全员签收,2,需求扩散即触发变更评审会,未开始,0%
T0,2026-03-30,2026-04-05,项目启动与范围冻结,建立预算台账与熔断规则,财务BP,PM负责人,周度预算跟踪表,总预算上限300万且熔断规则生效,3,周超支>10%即冻结非核心支出,未开始,0%
T+1,2026-04-06,2026-04-12,硬件采购RFP完成,发布RFP并收集供应商报价,供应链负责人,IoT负责人/法务,采购RFP与报价汇总,有效报价>=3家且交付周期<=4周,8,供应不足启用备选供应商池,未开始,0%
T+1,2026-04-06,2026-04-12,硬件采购RFP完成,完成供应商评标与定标,供应链负责人,PM负责人/财务BP,评标记录与定标单,综合评分最高供应商中标并签批,10,价格超标则分批采购并议价,未开始,0%
T+2,2026-04-13,2026-04-19,MVP需求冻结,拆分用户端与后台P0需求,产品负责人,前端负责人/后端负责人/测试负责人,PRD v1.0与原型,所有P0需求具备可验收标准,10,需求冲突则以交易闭环优先,未开始,0%
T+2,2026-04-13,2026-04-19,MVP需求冻结,输出埋点方案与指标口径,数据分析负责人,产品负责人/后端负责人,埋点字典v1.0,KPI口径在产品技术运营三方一致,6,口径冲突则召开口径评审会,未开始,0%
T+3,2026-04-20,2026-04-26,核心开发S1完成,实现登录预约下单主流程,前端负责人,后端负责人/测试负责人,前端页面与联调记录,主链路可完整演示无阻断,12,接口变更走版本化策略,未开始,0%
T+3,2026-04-20,2026-04-26,核心开发S1完成,实现订单支付工单服务接口,后端负责人,前端负责人/测试负责人,API v0.1与Swagger文档,核心接口成功率>=98%,14,支付异常启用降级与重试机制,未开始,0%
T+4,2026-04-27,2026-05-03,双轨履约同周落地,自营技师招募与培训完成,城市运营负责人,HR负责人/培训负责人,技师名单与培训签到表,到岗人数满足试运营最低容量,12,招募不足则启动兼职储备池,未开始,0%
T+4,2026-04-27,2026-05-03,双轨履约同周落地,第三方门店签约与系统接入,城市运营负责人,法务负责人/技术支持,签约合同与接入清单,签约门店>=5家且系统账号可用,14,签约延迟则先上线核心商圈门店,未开始,0%
T+5,2026-05-04,2026-05-10,柜体安装验收,柜体到货安装与联网联调,IoT负责人,供应商工程师/后端负责人,安装报告与联网清单,设备在线率>=95%,20,安装延期优先投放高客流点位,未开始,0%
T+5,2026-05-04,2026-05-10,柜体安装验收,温湿度门锁告警全链路验收,IoT负责人,测试负责人/运营负责人,告警测试报告,告警触发与回执链路100%可追踪,12,误报过高则先启用规则阈值调整,未开始,0%
T+6,2026-05-11,2026-05-17,灰度试运营开启,白名单用户灰度与客服值守,运营负责人,客服负责人/产品负责人,灰度用户清单与客服SOP,周订单>=300且投诉率<3%,12,转化不足即优化首单补贴策略,未开始,0%
T+6,2026-05-11,2026-05-17,灰度试运营开启,建立日报机制与问题闭环,PM负责人,技术负责人/测试负责人,灰度日报与缺陷台账,P0问题24小时内闭环率>=95%,10,阻塞超时即升级战情会,未开始,0%
T+7,2026-05-18,2026-05-24,正式上线,杭州全量上线与渠道投放,增长负责人,运营负责人/技术负责人,上线公告与投放计划,周订单>=500客单>=47元复购>=8%,16,ROI偏低立即缩减低效渠道预算,未开始,0%
T+8,2026-05-25,2026-05-31,履约优化,优化派单和服务时效,服务运营负责人,城市运营负责人/技术负责人,派单规则v2与时效看板,准时履约率>=92%,10,高峰履约不足启用门店兜底机制,未开始,0%
T+9,2026-06-01,2026-06-07,复购拉升,上线周卡次卡和复购券,用户运营负责人,产品负责人/增长负责人,会员活动方案与触达计划,周复购率>=16%,8,复购不达标增加分层权益触达,未开始,0%
T+10,2026-06-08,2026-06-14,商业化优化,优化套餐结构与毛利模型,商业化负责人,财务BP/运营负责人,定价策略v2与毛利看板,客单>=50元毛利率>=32%,8,毛利偏低则调整补贴结构,未开始,0%
T+11,2026-06-15,2026-06-21,稳定与审计,开展稳定性压测与应急演练,技术负责人,DevOps负责人/测试负责人,压测报告与演练记录,连续2周无P0事故,7,系统风险上升则暂停非必要发布,未开始,0%
T+12,2026-06-22,2026-06-28,正式运营验收,输出试点验收与复盘报告,PM负责人,全体核心干系人,验收报告与下一阶段计划,周订单>=1500客单>=52复购>=28%,4,未达标延长4周提效期不扩城,未开始,0%
